Stkcd,Year,TFP_OLS,lnY,lnL,lnK,lnM
000002,2020,5.196254453675199,26.76140325527861,11.853425294226033,23.255162837144447,26.48679560028402
000002,2021,5.196943694251424,26.83871144768845,11.84577686856588,23.27435495076178,26.611047622100664
000002,2022,5.5304596028724164,26.94552135389764,11.789169876040955,23.52178208791463,26.24570735856452
000002,2023,5.49571326873144,26.86689139301777,11.78369278619477,23.679895207540987,26.160026294242044
000002,2024,5.4773040861058115,26.561510556262718,11.756953411200161,23.7490684205699,25.704332663545234
000006,2020,5.657695043809089,21.799882415531904,5.983936280687191,17.601540188277717,21.139061816377524
000006,2021,4.614358095527941,21.85097420682691,5.998936561946683,17.564519852216257,22.89156191695638
000006,2022,5.469973610613324,22.031548263816084,6.052089168924417,17.80702880203213,21.757014902725263
000006,2023,5.223853091175635,21.756665047361114,6.030685260261263,17.539957434844826,21.750893342173235
000006,2024,6.392688160321126,22.525791831546616,6.037870919922137,17.93240683651405,21.062259200796795
000007,2020,5.1426016483948915,17.625421043724646,4.330733340286331,17.648936660555847,16.028673874925953
000007,2021,4.670564854809162,18.99925799457983,4.406719247264253,17.659873358225394,18.95276173351408
000007,2022,5.866289030842823,19.212940116997835,4.330733340286331,17.652139270744645,17.413735082861017
000007,2023,5.911963235424712,19.19258350949102,4.30406509320417,17.607458972953808,17.325195390821623
000007,2024,5.654078795521543,19.543256963005955,4.983606621708336,17.62454827974742,17.985286240664575
000008,2020,4.520856858930771,21.37429808668637,7.780720886117918,19.925895366331297,21.187420424707078
000008,2021,4.773404275700877,21.51842999138489,7.7142311448490855,19.83813510422811,21.054162128338564
000008,2022,4.6818407055952465,21.295912275032997,7.754052639035757,19.892550554104364,20.819599731530452
000008,2023,4.8891577363842496,21.644204878299423,7.67786350067821,20.0559118497887,21.062479632821656
000008,2024,4.956737226497112,21.4566007412138,7.5569505720129,19.99352875626227,20.716118380053807
000009,2020,4.85786556961946,23.08353955387363,9.498897061838624,22.249261591608416,22.3322978278135
000009,2021,4.884433868253784,23.58851458912013,9.57045937831747,22.318295259656526,23.05871992943857
000009,2022,5.018492544724389,24.188961767280375,9.752257603219848,22.78671127120796,23.66989134595221
000009,2023,5.005509158618779,24.147434614234854,9.716856724154075,23.133561426976545,23.60135493763645
000009,2024,4.753382775202053,23.730327875853106,9.720645860495285,23.365981736716098,23.3087962367819
000010,2020,5.4201115388803425,21.065821130596134,5.627621113690637,16.94331433552378,20.581676707977575
000010,2021,5.807986469316433,21.28682058005358,5.66988092298052,16.728756502674624,20.31870943819681
000010,2022,4.431580619855187,20.233962440821962,5.288267030694535,16.443744465814824,21.04609127755527
000010,2023,4.673797103148805,19.528964668734282,4.976733742420574,16.16064268346463,19.7028143390658
000010,2024,5.353504580366022,20.551502706070416,5.0238805208462765,15.828445277338773,20.268327403207653
000011,2020,5.108485972355489,22.13531922866495,8.991562278171614,18.57111540828122,21.058800911168092
000011,2021,4.464496419426337,22.22555622546522,8.943506132037239,18.499135511700995,22.266683696079674
000011,2022,4.623157925544796,22.0339389017207,9.140990293841389,18.231276227558705,21.6438591384108
000011,2023,4.499665115717584,21.810182337433414,9.084436955087027,18.011755790977677,21.533942368805363
000011,2024,4.477370219862121,21.729089687696405,9.100971834920818,17.780361216209798,21.45809665319362
000012,2020,4.703904411583992,23.090819369118773,9.264639145383562,22.936543599520288,22.621634029397008
000012,2021,4.786648407194773,23.335468181388666,9.385133662349347,22.87112683877767,22.83299939355506
000012,2022,4.65946068078888,23.444476195259277,9.565143565282119,23.14303255589739,23.09797252575432
000012,2023,4.759660440344281,23.62440521351724,9.592946185938265,23.29935055254182,23.195368105157876
000012,2024,4.58024602713849,23.461223413900257,9.630168502920114,23.30093331735932,23.204024456372753
000014,2020,4.885472395095776,19.663893693319704,5.030437921392435,17.05139192624796,19.454460877727843
000014,2021,5.192520566953996,20.27968826160633,4.852030263919617,17.01993043691904,20.035615834299367
000014,2022,5.535147187658805,20.45355701010643,4.6913478822291435,16.944092799838472,19.847758562009947
000014,2023,6.691624198625974,21.052003140639847,4.727387818712341,16.850867349669794,18.9466431702577
000014,2024,5.576652094171551,19.69578497610668,4.356708826689592,16.766922979224162,18.740475235776703
000016,2020,4.987975982015354,24.642300931212787,9.75359446296151,21.87971990411653,24.547570285753874
